Timestamp,period_0,period_1,period_2,period_3,period_4,period_5,period_6,period_7,period_8,period_9,period_10,period_11,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,ServiceID_0,ServiceID_1,ServiceID_2,ServiceID_3,ServiceID_4,ServiceID_5,ServiceID_6,ServiceID_7,ServiceID_8,ServiceID_9,ServiceID_10,ServiceID_11
2021-12-30 11:00:00,63,62.0,63.962375621890544,0.0,0,62.0,0,63.0,0,0.0,0,63.0,2224.0,486.0,631.5103857566766,0.0,0.0,4572.615023474178,0.0,614.0973236009733,0.0,0.0,0.0,1018.8176634484546,0,0,0,0,0,0,0,1,0,0,0,0
2021-12-30 12:00:00,63,62.0,63.95976529756916,0.0,0,62.0,0,63.0,0,0.0,0,63.0,2355.0,532.3333333333334,623.8127110228401,0.0,0.0,5578.240740740741,0.0,601.4773618538325,0.0,0.0,0.0,1027.0050128534704,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-30 13:00:00,63,62.0,63.949432739059965,0.0,0,62.0,0,63.0,0,0.0,0,63.0,941.0,574.6923076923077,616.1254078747008,0.0,0.0,4673.927536231884,0.0,609.1317409505048,0.0,0.0,0.0,986.4413102820746,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-30 14:00:00,63,62.0,63.97072975140337,0.0,0,62.0,0,63.0,0,0.0,0,63.0,1035.3333333333333,573.1545454545454,616.2849924204144,0.0,0.0,4911.032258064516,0.0,612.7000882093502,0.0,0.0,0.0,1057.9110225763611,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-30 15:00:00,63,62.0,63.91916000743356,0.0,0,62.0,0,63.0,0,0.0,0,63.0,2282.0,559.1271929824561,608.4642259803011,0.0,0.0,3323.245762711864,0.0,628.6187643020595,0.0,0.0,0.0,1128.2002100840336,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-30 16:00:00,63,62.0,64.0,63.0,0,62.0,0,63.0,0,0.0,0,63.0,1780.6666666666667,582.8333333333334,638.3076923076923,173.0,0.0,5635.354545454546,0.0,662.670906200318,0.0,0.0,0.0,988.113482056256,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-30 17:00:00,63,62.0,63.95576407506702,0.0,0,62.0,0,63.0,0,0.0,0,63.0,2363.0,594.6,611.2236389843663,0.0,0.0,8213.971291866028,0.0,653.8148148148148,0.0,0.0,0.0,1014.5891789498608,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-30 18:00:00,0,0.0,63.97664141414141,0.0,0,62.0,0,63.0,0,0.0,0,63.0,0.0,0.0,617.0422380691168,0.0,0.0,5188.131147540984,0.0,600.9909478168264,0.0,0.0,0.0,1053.65528500793,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-30 19:00:00,0,0.0,63.95441262419638,0.0,0,62.0,0,63.0,0,0.0,0,63.0,0.0,0.0,606.6228326514708,0.0,0.0,3621.878947368421,0.0,600.6450939457203,0.0,0.0,0.0,1005.4368030937802,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-30 20:00:00,0,0.0,64.0,0.0,0,62.0,0,63.0,0,0.0,0,63.0,0.0,0.0,605.5393939393939,0.0,0.0,14345.78947368421,0.0,600.9761904761905,0.0,0.0,0.0,1022.0009915716412,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-30 21:00:00,0,0.0,63.93126744015274,0.0,0,62.0,0,63.0,0,0.0,0,63.0,0.0,0.0,602.7146423850786,0.0,0.0,4535.914285714286,0.0,600.5238095238095,0.0,0.0,0.0,1017.7707352408548,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-30 22:00:00,0,0.0,64.0,0.0,0,62.0,0,63.0,0,0.0,0,63.0,0.0,0.0,635.7117283950618,0.0,0.0,12190.808823529413,0.0,600.6027491408935,0.0,0.0,0.0,964.1112565445026,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-30 23:00:00,0,0.0,63.81368670886076,0.0,0,62.0,0,63.0,0,0.0,0,63.0,0.0,0.0,598.0886075949367,0.0,0.0,7849.232876712329,0.0,600.2914218566392,0.0,0.0,0.0,958.0760552421708,0,0,0,0,0,0,0,0,0,0,0,0
