Day,DoWeek,hour,count,passed,period,data,ServiceID_0,ServiceID_1,ServiceID_3,ServiceID_4,ServiceID_5,ServiceID_6,ServiceID_7,ServiceID_8,ServiceID_9,ServiceID_10,ServiceID_11
2022-01-16,6,12,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-16,6,13,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-16,6,19,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-16,6,20,2867,2865,63.0,600.6466689919777,0,0,0,0,0,0,1,0,0,0,0
2022-01-17,0,18,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-17,0,23,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-18,1,8,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-18,1,9,4155,4144,63.0,607.4129963898916,0,0,0,0,0,0,1,0,0,0,0
2022-01-18,1,10,5434,5393,63.0,609.5925653294074,0,0,0,0,0,0,1,0,0,0,0
2022-01-18,1,15,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-18,1,23,1218,1188,62.99425287356322,613.9573070607553,0,0,0,0,0,0,1,0,0,0,0
2022-01-19,2,12,2564,2554,63.0,600.6427457098284,0,0,0,0,0,0,1,0,0,0,0
2022-01-19,2,12,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-19,2,13,4641,4640,63.0,605.8965740142211,0,0,0,0,0,0,1,0,0,0,0
2022-01-19,2,16,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-19,2,21,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-20,3,7,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-21,4,11,2968,2961,63.0,603.9592318059299,0,0,0,0,0,0,1,0,0,0,0
2022-01-22,5,10,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-22,5,20,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-22,5,22,1350,1349,63.0,599.7659259259259,0,0,0,0,0,0,1,0,0,0,0
2022-01-22,5,22,3,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-22,5,23,2,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-23,6,10,8,7,62.0,263.375,0,1,0,0,0,0,0,0,0,0,0
2022-01-24,0,9,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-24,0,13,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-24,0,16,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-24,0,19,2,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-25,1,10,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-25,1,17,4663,4658,63.0,602.3978125670169,0,0,0,0,0,0,1,0,0,0,0
2022-01-25,1,19,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-26,2,3,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-26,2,9,3266,3257,63.0,611.8303735456216,0,0,0,0,0,0,1,0,0,0,0
2022-01-26,2,13,5116,5115,63.0,608.4515246286161,0,0,0,0,0,0,1,0,0,0,0
2022-01-26,2,14,3160,3157,63.0,608.7379746835443,0,0,0,0,0,0,1,0,0,0,0
2022-01-26,2,16,4793,4792,63.0,609.6538702274149,0,0,0,0,0,0,1,0,0,0,0
2022-01-26,2,17,5531,5530,63.0,599.6098354727898,0,0,0,0,0,0,1,0,0,0,0
2022-01-27,3,3,528,526,63.0,595.1041666666666,0,0,0,0,0,0,1,0,0,0,0
2022-01-27,3,10,2503,2494,63.0,609.4518577706751,0,0,0,0,0,0,1,0,0,0,0
2022-01-27,3,10,5555,5552,63.0,608.3089108910891,0,0,0,0,0,0,1,0,0,0,0
2022-01-27,3,11,2790,2789,63.0,609.7501792114696,0,0,0,0,0,0,1,0,0,0,0
2022-01-27,3,14,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-27,3,16,5013,5012,63.0,608.5374027528426,0,0,0,0,0,0,1,0,0,0,0
2022-01-27,3,17,5050,5044,63.0,599.2879207920793,0,0,0,0,0,0,1,0,0,0,0
2022-01-27,3,18,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-28,4,0,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-28,4,11,3582,3581,63.0,604.8863763260748,0,0,0,0,0,0,1,0,0,0,0
2022-01-28,4,14,7176,7175,63.0,609.4739409141583,0,0,0,0,0,0,1,0,0,0,0
2022-01-28,4,17,6409,6405,63.0,596.9617725074114,0,0,0,0,0,0,1,0,0,0,0
2022-01-28,4,20,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-28,4,23,1284,1263,63.0,587.8520249221184,0,0,0,0,0,0,1,0,0,0,0
2022-01-29,5,0,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-29,5,10,4398,4397,63.0,600.6164165529786,0,0,0,0,0,0,1,0,0,0,0
2022-01-29,5,21,1608,1607,63.0,599.3395522388059,0,0,0,0,0,0,1,0,0,0,0
2022-01-30,6,4,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-30,6,6,945,934,63.0,599.5798941798942,0,0,0,0,0,0,1,0,0,0,0
2022-01-30,6,11,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-30,6,14,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-30,6,19,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-31,0,2,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-31,0,9,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-31,0,11,4373,4372,63.0,600.198033386691,0,0,0,0,0,0,1,0,0,0,0
2022-01-31,0,14,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-31,0,17,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-31,0,18,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-01-31,0,22,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-01,1,0,3090,3087,63.0,597.7511326860841,0,0,0,0,0,0,1,0,0,0,0
2022-02-01,1,16,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-01,1,17,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-02,2,7,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-02,2,9,1279,1277,63.0,600.1227521501173,0,0,0,0,0,0,1,0,0,0,0
2022-02-02,2,23,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-03,3,20,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-04,4,16,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-05,5,10,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-05,5,11,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-06,6,13,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-07,0,7,698,696,63.0,606.5071633237823,0,0,0,0,0,0,1,0,0,0,0
2022-02-07,0,10,143,142,62.0,518.8531468531469,0,1,0,0,0,0,0,0,0,0,0
2022-02-07,0,11,117,50,62.0,216.1965811965812,0,1,0,0,0,0,0,0,0,0,0
2022-02-07,0,11,11,0,62.0,0.0,0,1,0,0,0,0,0,0,0,0,0
2022-02-07,0,12,389,337,62.0,262.9177377892031,0,1,0,0,0,0,0,0,0,0,0
2022-02-07,0,13,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-07,0,14,2960,2958,63.0,606.0003378378378,0,0,0,0,0,0,1,0,0,0,0
2022-02-07,0,17,2956,2955,63.0,601.2151556156969,0,0,0,0,0,0,1,0,0,0,0
2022-02-07,0,19,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-08,1,17,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-08,1,23,583,550,62.95025728987993,619.2590051457976,0,0,0,0,0,0,1,0,0,0,0
2022-02-09,2,12,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-11,4,4,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-11,4,6,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-11,4,11,3008,3007,63.0,603.0139627659574,0,0,0,0,0,0,1,0,0,0,0
2022-02-11,4,12,1902,1686,63.0,579.7407991587802,0,0,0,0,0,0,1,0,0,0,0
2022-02-11,4,20,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-12,5,0,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-13,6,7,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-13,6,9,2905,2904,63.0,600.1597246127367,0,0,0,0,0,0,1,0,0,0,0
